State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201801,Mental health disorder,Emergency department,5925,4.8,
Alabama,2018,201801,Substance use disorder,Emergency department,9031,7.3,
Alabama,2018,201801,Mental health disorder,Inpatient,3619,2.9,
Alabama,2018,201801,Substance use disorder,Inpatient,3895,3.2,
Alabama,2018,201801,Mental health disorder,Intensive outpatient/Partial hospitalization,9490,7.7,
Alabama,2018,201801,Substance use disorder,Intensive outpatient/Partial hospitalization,7953,6.5,
Alabama,2018,201801,Mental health disorder,Outpatient,121365,98.6,
Alabama,2018,201801,Substance use disorder,Outpatient,2795,2.3,
Alabama,2018,201801,Mental health disorder,Telehealth,485,0.4,
Alabama,2018,201801,Substance use disorder,Telehealth,1998,1.6,
Alabama,2018,201802,Mental health disorder,Emergency department,5932,4.8,
Alabama,2018,201802,Substance use disorder,Emergency department,8025,6.5,
Alabama,2018,201802,Mental health disorder,Inpatient,3183,2.6,
Alabama,2018,201802,Substance use disorder,Inpatient,3529,2.9,
Alabama,2018,201802,Mental health disorder,Intensive outpatient/Partial hospitalization,11017,8.9,
Alabama,2018,201802,Substance use disorder,Intensive outpatient/Partial hospitalization,8322,6.8,
Alabama,2018,201802,Mental health disorder,Outpatient,120248,97.7,
Alabama,2018,201802,Substance use disorder,Outpatient,2908,2.4,
Alabama,2018,201802,Mental health disorder,Telehealth,298,0.2,
Alabama,2018,201802,Substance use disorder,Telehealth,1035,0.8,
Alabama,2018,201803,Mental health disorder,Emergency department,6092,4.9,
Alabama,2018,201803,Substance use disorder,Emergency department,8788,7.1,
Alabama,2018,201803,Mental health disorder,Inpatient,3436,2.8,
Alabama,2018,201803,Substance use disorder,Inpatient,3813,3.1,
Alabama,2018,201803,Mental health disorder,Intensive outpatient/Partial hospitalization,12144,9.8,
Alabama,2018,201803,Substance use disorder,Intensive outpatient/Partial hospitalization,10089,8.2,
Alabama,2018,201803,Mental health disorder,Outpatient,130981,106.0,
Alabama,2018,201803,Substance use disorder,Outpatient,3475,2.8,
Alabama,2018,201803,Mental health disorder,Telehealth,68,0.1,
Alabama,2018,201803,Substance use disorder,Telehealth,68,0.1,
Alabama,2018,201804,Mental health disorder,Emergency department,6416,5.2,
Alabama,2018,201804,Substance use disorder,Emergency department,8748,7.0,
Alabama,2018,201804,Mental health disorder,Inpatient,3329,2.7,
Alabama,2018,201804,Substance use disorder,Inpatient,3649,2.9,
Alabama,2018,201804,Mental health disorder,Intensive outpatient/Partial hospitalization,12966,10.4,
Alabama,2018,201804,Substance use disorder,Intensive outpatient/Partial hospitalization,10125,8.1,
Alabama,2018,201804,Mental health disorder,Outpatient,129950,104.5,
Alabama,2018,201804,Substance use disorder,Outpatient,3614,2.9,
Alabama,2018,201804,Mental health disorder,Telehealth,34,0.0,
Alabama,2018,201804,Substance use disorder,Telehealth,63,0.1,
Alabama,2018,201805,Mental health disorder,Emergency department,6426,5.2,
Alabama,2018,201805,Substance use disorder,Emergency department,9292,7.5,
Alabama,2018,201805,Mental health disorder,Inpatient,3540,2.8,
Alabama,2018,201805,Substance use disorder,Inpatient,3984,3.2,
Alabama,2018,201805,Mental health disorder,Intensive outpatient/Partial hospitalization,13032,10.5,
Alabama,2018,201805,Substance use disorder,Intensive outpatient/Partial hospitalization,10687,8.6,
Alabama,2018,201805,Mental health disorder,Outpatient,127286,102.1,
Alabama,2018,201805,Substance use disorder,Outpatient,3677,2.9,
Alabama,2018,201805,Mental health disorder,Telehealth,33,0.0,
Alabama,2018,201805,Substance use disorder,Telehealth,63,0.1,
Alabama,2018,201806,Mental health disorder,Emergency department,5882,4.7,
Alabama,2018,201806,Substance use disorder,Emergency department,8871,7.1,
Alabama,2018,201806,Mental health disorder,Inpatient,3315,2.7,
Alabama,2018,201806,Substance use disorder,Inpatient,3776,3.0,
Alabama,2018,201806,Mental health disorder,Intensive outpatient/Partial hospitalization,17317,13.9,
Alabama,2018,201806,Substance use disorder,Intensive outpatient/Partial hospitalization,10058,8.1,
Alabama,2018,201806,Mental health disorder,Outpatient,113475,91.2,
